Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Ukraine,Norway,2023,,4,,BPz-2,ARV,4,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 2 NM-189 version,0.56,2.24,2.24
Ukraine,Netherlands,2022,,15,?,AIM-120B AMRAAM,BVRAAM,15,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.16,2.4,2.4
Ukraine,Canada,2022,,13,,Gurkha,APV,11,?,2023,New,Financed with private donations; ambulance version,0.16,2.08,1.76
Ukraine,United Kingdom,2022,,2,?,ARTHUR,artillery locating radar,2,?,2022,Second hand,Second-hand; part of GBP300 m aid after 2022 Russian invasion of Ukraine,1.6,3.2,3.2
Ukraine,Germany,2022,,67,,Gepard,self-propelled AA gun,52,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,3.6,241.2,187.2
Ukraine,France,2022,,10,,MO-120-RT 120mm,mortar,10,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '120mm mortar'),0.12,1.2,1.2
Ukraine,Sweden,2023,?,1,?,Giraffe-75,air search radar,1,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.6,1.6,1.6
Ukraine,Canada,2022,,800,?,Senator,APC/APV,800,?,2022; 2023,New,Aid after 2022 Russian invasion of Ukraine; incl 190 financed by USA and rest financed by unidentified other states,0.14,112,112
Ukraine,Romania,2022,,20,?,TAB-71,APC,20,?,2022; 2023,Second hand,Second-hand; TAB-71M version,0.1,2,2
Ukraine,Canada,2022,,208,,Senator,APC/APV,208,,2022; 2023,New,Aid after 2022 Russian invasion of Ukraine,0.14,29.12,29.12
Ukraine,Slovakia,2022,,30,,BMP-1,IFV,30,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; BVP-1 version,0.36,10.8,10.8
Ukraine,Canada,2022,?,8,,Leopard-2A4,tank,8,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.6,12.8,12.8
Ukraine,France,2018,,12,,H725 Caracal,transport helicopter,12,?,2018; 2019; 2021; 2022,Second hand,Second-hand (but modernized before delivery in Romania); part of EUR555 m deal; H225 version,3.2,38.4,38.4
Ukraine,Canada,2023,,43,,AIM-9M Sidewinder,SRAAM,43,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; probably for NASAMS SAM systems,0.05,2.06,2.06
Ukraine,Portugal,2023,,3,,Leopard-2A6,tank,3,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,2,6,6
Ukraine,Germany,2022,,26,,BrPz-1 Biber,armoured bridgelayer,14,,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; delivery planned 2022-2024,0.4,10.4,5.6
Ukraine,Germany,2023,,110,,Leopard-1A5,tank,30,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; financed by Denmark; Germany and Netherlands aid,1.04,114.4,31.2
